company,role,salary,JD
Wunderman Singapore,Account Coordinator Intern (Advertising),$800 ,"SUMMARY: The Account Coordinator Intern provides day-to-day support/services to assigned clients. The incumbent is responsible for delivering quality materials on time and on budget. The Account Coordinator intern supports and collaborates with team members on tactical and strategic aspects of the account.KEY RESPONSIBILITIES:  Accountability for the day-to-day execution and financial management of assigned accounts.  Attend and facilitate (as appropriate) all status meetings, client meetings and client calls  Assist in the participation in marketing planning and execution of operational/tactical aspects of campaigns  Assist in monitoring both client and agency budgets, including oversight of campaign costs  Act as a liaison between all departments and the client to ensure a timely completion of projects  Any other reasonable duties, functions or responsibilities assigned to you fromtime to timeREQUIRED SKILLS:  Thorough understanding of agency functions  Strong communication skills  Excellent organizational, time and self-management skills  Detail-oriented, with excellent follow through skills  Strong sense of initiative and ability to work under pressu"
Talentguru,IT Intern,"$800 - 1,500 ","You will be working together closely with some of the best data scientists in Singapore and Asia to develop game-changing machine learning systems and technologies targeted at the finance industry. As part of our company culture, you will also have the opportunity to gain valuable insights into entrepreneurship, machine learning, data analytics techniques, finance, and more. Utilize various statistical and machine learning methods to mine relationships, extract patterns and features, or otherwise derive value from data Perform ETL, data cleaning and data crowdsourcing tasks in preparation for data analysis Provide input and contribute to strategic decisions regarding the development of our data analytics product suite Work as part of a team and communicate ideas and feedback effectively  "
Asia Finance,Product & UX,$450 - 800 ,"Product & UX InternJob DescriptionYou will work closely with the Product team to develop and implement the product and go -to- market strategy to drive user adoption and business growth. In particular, you will be responsible for the conception, development, delivery and refinement of the products. You will be joining a closely-knit team and have the opportunity to work alongside data scientists and financial experts.ResponsibilitiesBuild & Manage product roadmap to support business plans and goalsMaintain a deep understanding of the product (competitor analyses, collect customer feedback, and analyse customer behaviour and needs)Translate market research, user feedback and analyses into requirement specifications and actionable insightsGenerate new ideas that grow market share and improve customer experience and drive growthScope and prioritise activities and resources based on business and customer impactWork closely with engineering teams to deliver useful and desirable products with quick time-to-market and optimal resourcesQualificationsCurrently undergoing relevant degree in Business Management or Interaction DesignStrong business acumenStrong appreciation for user-centric designSelf-starter with ability to multi-task and work under tight timelinesHighly organized and detail orientedWilling to get hands dirty"
Asia Finance,Research & Operations,$600 - 800 ,"Research & Operations InternJob DescriptionYou will work closely with the Product and Marketing Team to streamline and coordinate operational processes to support the launch and management of our products. You will be joining a closely knit team and have the opportunity to work alongside data scientists and financial experts. Responsibilities Coordinate and implement team management initiatives, and operational processes. Build workflow processes to improve operational objectives. Assist on the company s engagement of vendors/service providers. Create SOP guidelines for internal procedures. Ensure that adequate internal procedures and controls are in place with checks and balances. Assist product and marketing team in executing product and marketing campaigns Assist in the compilation of competitive analysis reports Be able to actively participate in brainstorm meetings and provide insightsQualifications Currently undergoing relevant degree in Business Management or Operations. Strong business acumen. Independent, pro-active learner Strong attention to detail, teamwork, good work ethic, and self-motivation are highly valued attributes. Highly organized and detail oriented. Ability to multi-task and perform under stress."
Wunderman Singapore,Account Coordinator Intern (Advertising),$800 ,"The Account Coordinator Intern provides day-to-day support/services to assigned clients. He/she is responsible for delivering quality materials on time and on budget. The Account Coordinator intern supports and collaborates with team members on tactical and strategic aspects of the account.KEY RESPONSIBILITIES:  Accountability for the day-to-day execution and financial management of assigned accounts.  Attend and facilitate (as appropriate) all status meetings, client meetings and client calls  Assist in the participation in marketing planning and execution of operational/tactical aspects of campaigns  Assist in monitoring both client and agency budgets, including oversight of campaign costs  Act as a liaison between all departments and the client to ensure a timely completion of projects  Any other reasonable duties, functions or responsibilities assigned to you fromtime to tim"
Wunderman Singapore,Account Coordinator Intern (Advertising),$800 ,"The Account Coordinator Intern provides day-to-day support/services to assigned clients. The incumbent is responsible for delivering quality materials on time and on budget. The Account Coordinator intern supports and collaborates with team members on tactical and strategic aspects of the account.KEY RESPONSIBILITIES:  Accountability for the day-to-day execution and financial management of assigned accounts.  Attend and facilitate (as appropriate) all status meetings, client meetings and client calls  Assist in the participation in marketing planning and execution of operational/tactical aspects of campaigns  Assist in monitoring both client and agency budgets, including oversight of campaign costs  Act as a liaison between all departments and the client to ensure a timely completion of projects  Any other reasonable duties, functions or responsibilities assigned to you fromtime to timeREQUIRED SKILLS:  Thorough understanding of agency functions  Strong communication skills  Excellent organizational, time and self-management skills  Detail-oriented, with excellent follow through skills  Strong sense of initiative and ability to work under pressu"
InfoTrie Financial Solutions Pte Ltd,Quantitative Analyst,"$600 - 1,000 ","Become a Quantitative Analyst / Data Scientist for InfoTrie:Responsibilities:Analyze and draw insights from financial data, structured and unstructuredResearch and develop new data mining, text mining algorithms and modelsImprove existing algorithms and modelsWhere possible, write papers describing novel workRequirements:Basic knowledge of financeExperience with scripting languages: R, PythonRelational database and SQLLinux shell programming: pipes, redirection, process control, etc.Statistical and time series analysisMachine learning: regression (lasso, ridge, principal component, etc.), clustering, SVM, Neural Nets, etc.Regular expressions and text mining techniquesEffective communication skill and ability of independent study and researchDesirable skills:Java, Perl, ScalaHadoop, Spark, Storm, KafkaNoSQL databases: MongoDB, Time Series DB, RedisDistributed search engine: Solr, ElasticsearchMultiple languages (other than English) capability"
DIYinsurance,Front End Developer Intern,"$800 - 1,000 ","Company: DIYInsurance.com.sgDesignation: Full-time Front-end (Inter)Job Period: Immediate Start, for at least 3 monthsLocation: Tanjong Pagar MRT. 38 Duxton Hill Singapore 089616Stipend: $800   1000Industry: InsuranceDIYInsurance (Do It Your way Insurance) is Singapore's First Life Insurance Comparison Web Portal launched in June 2014. We exist for one sole purpose: to empower you to make informed decisions about your insurance purchases based on no one's agenda except your own. And that s why we are constantly bringing together financial experts and unbiased Technologist and Data Scientists.Check out some of our recent media foras:http://www.straitstimes.com/business/invest/real-life-cases-on-closing-gaps https://www.facebook.com/seedlysg/videos/763712643816772/As an Intern, you will be right in the middle of plenty of action. You ll be involved in various areas related to business planning, software development, quality assurance and your actions and findings will directly impact the company s offerings. You will work hand-in hand with colleagues and sometimes completely and fully lead your areas taking on as much as you can. This internship will give you the chance to work with different departments and understand a wide range of functions.Whatever the case what s guaranteed is a fun, respectful, best-in-town experience with a strong focus on mentoring and learning.REQUIREMENTSIdeally, youTranslate mockup designs into quality front-end codeFamiliar with common front-end development tools and frameworksBuild reusable components and front-end design librariesUnderstand optimization is important for maximum performanceHave Photoshop knowledgePixel-perfect kind of personHave positive and not-afraid-of-challenges attitudeYou will be working closely with the team in all areas too. It will be hard, but you will be learning tons.If you have all the above requirements, we want you!"
DIYInsurance,Full-time Tech Intern,"$800 - 1,000 ","Are you sick of pushing and stapling papers? Not sure if you are totally ready to build complex systems? Take the quiz below. Simply answer yes or no to each statement.Ready? Here goes:1.You have done some kind of cool blockchain-related side-project.2.You enjoy painting with your hands/feet?3.You can build almost anything with almost everything.Did you answer  yes  to all 3 statements? Or even 2 then we think you really should join us!As an Intern, you will be right in the middle of plenty of action. You ll be involved in various areas related to business planning, software development, quality assurance and your actions and findings will directly impact the company s offerings. You will work hand-in hand with colleagues and sometimes completely and fully lead your areas taking on as much as you can. This internship will give you the chance to work with different departments and understand a wide range of functions.Whatever the case what s guaranteed is a fun, respectful, best-in-town experience with a strong focus on mentoring and learning.REQUIREMENTSIdeally, you      Have experience in software development with an MVC framework      Are familiar with RESTful APIs and back-end services      Enjoy problem solving and the prospect of grappling with tough real-world business problems      Ensure functional production-quality work      Have a positive attitude and are not afraid to challenge the status quo or go the extra mileYou will be working closely with the team in all areas. It will be hard, but you will be learning tons."
InfoTrie Financial Solutions Pte Ltd,Quantitative Analyst,"$500 - 1,000 ","Become a Quantitative Analyst / Data Scientist for InfoTrie:Responsibilities:Analyze and draw insights from financial data, structured and unstructuredResearch and develop new data mining, text mining algorithms and modelsImprove existing algorithms and modelsWhere possible, write papers describing novel workRequirements:Basic knowledge of financeExperience with scripting languages: R, PythonRelational database and SQLLinux shell programming: pipes, redirection, process control, etc.Statistical and time series analysisMachine learning: regression (lasso, ridge, principal component, etc.), clustering, SVM, Neural Nets, etc.Regular expressions and text mining techniquesEffective communication skill and ability of independent study and researchDesirable skills:Java, Perl, ScalaHadoop, Spark, Storm, KafkaNoSQL databases: MongoDB, Time Series DB, RedisDistributed search engine: Solr, ElasticsearchMultiple languages (other than English) capability"
99.co,Marketing Intern,$700 - 800 ,"What you ll be doing:+ Assist the marketing team in delivering marketing strategies and materials to drive sales+ Support the team with tracking performance and presenting analysis to continuously improve strategy+ Monitoring effectiveness of online campaigns, social and blog posts as well as devise strategies to drive traffic to our platform+ Manage the creation and dissemination of newsletters to relevant audiences+ Assist in the conceptualisation and creation process for content marketing+ Work closely with sales team to coordinate events, trainings, product launchesWe are looking at you if you are someone with the following:Background in MarketingAn awesome writer and story-teller that thrives in a startup environmentA major plus if familiar with Adobe Photoshop and designSmart, hardworking, and a goal-getter that is not afraid to get stuff doneAble to embrace both the charms of individuality and teamworkIndependent, flexible and able to think on his/her feetAn interest in the Real Estate IndustryA creative individual with keen eye for design and the smarts detail-oriented or someone who reads everything and will paste an html peace character somewhere in your applica"
Rockstagvid Pte Ltd,Python Developer Intern,$600 - 800 ,"The project involves web development for a new cryptocurrency related product in RockstagVid. You will be working with our Data Scientist to design and code the website, from layout to function. This role requires you to create visually appealing sites that feature user-friendly design and clear navigation. Candidate needs hands on experience with Web Applications and programming languages such as HTML, CSS, JavaScript, JQuery or API s. Deep functional knowledge or hands on design experience with Web Services (REST, SOAP, etc ..) will be useful. Strong grasp of security principles and how they apply to E-Commerce applications.Who should apply:Applicants should have an interest in learning new things and self-driven. An interest in cryptocurrency is a plus, however, its not a must. Applicants should be a problem-solver who enjoys coming up with creative solutions and pays attention to details. "
Rockstagvid Pte Ltd,Web Developer Intern,$600 - 800 ,"The project involves web development for a new cryptocurrency related product in RockstagVid. You will be working with our Data Scientist to design and code the website, from layout to function. This role requires you to create visually appealing sites that feature user-friendly design and clear navigation. Candidate needs hands on experience with Web Applications and programming languages such as HTML, CSS, JavaScript, JQuery or API s.- Deep functional knowledge or hands on design experience with Web Services (REST, SOAP, etc ..) will be useful. Strong grasp of security principles and how they apply to E-Commerce applications.Who should apply:Applicants should have an interest in learning new things and self-driven. An interest in cryptocurrency is a plus, however, its not a must. Applicants should be a problem-solver who enjoys coming up with creative solutions and pays attention to details. "
Fibronostics,Experienced Python Developer-software Engineer,"$2,500 - 4,200 ","The mission:Within the Data Scientist/R&D Engineer team, you will be the Software Engineer Leader of a dynamic startup. You will apply your skills to refactor, develop and improve our products. This implies:Bridge between Data Scientists & Front-End DevelopersBackend implementation of new features into our productsRefactoring of our current codeManagement of RESTful APIsDocumentation of code The skills required:Able to write reusable, testable and efficient codeFluent in PythonExperienced in Software Development  >> at least 1 yearExperienced with Versioning tools (Git)Experienced with Bash scriptingThe plus:Experience with Flask, AWS (DynamoDB, S3, EC2 ), Apache servers...Full Stack DeveloperCompensation:Monthly salary range: SGD2500 - SGD4200"
Fibronostics,Experienced Python Developer-software Engineer,"$2,500 - 4,200 ","The mission:Within the Data Scientist/R&D Engineer team, you will be the Software Engineer Leader of a dynamic startup. You will apply your skills to refactor, develop and improve our products. This implies:Bridge between Data Scientists & Front-End DevelopersBackend implementation of new features into our productsRefactoring of our current codeManagement of RESTful APIsDocumentation of code The skills required:Able to write reusable, testable and efficient codeFluent in PythonExperienced in Software Development  >> at least 1 yearExperienced with Versioning tools (Git)Experienced with Bash scriptingThe plus: Experience with Flask, AWS (DynamoDB, S3, EC2 ), Apache servers...Full Stack Devel"
InfoTrie Financial Solutions Pte Ltd,Quantitative Analyst,"$800 - 1,500 ","Become a Quantitative Analyst / Data Scientist for InfoTrie:Responsibilities:Analyze and draw insights from financial data, structured and unstructuredResearch and develop new data mining, text mining algorithms and modelsImprove existing algorithms and modelsWhere possible, write papers describing novel workRequirements:Basic knowledge of financeExperience with scripting languages: R, PythonRelational database and SQLLinux shell programming: pipes, redirection, process control, etc.Statistical and time series analysisMachine learning: regression (lasso, ridge, principal component, etc.), clustering, SVM, Neural Nets, etc.Regular expressions and text mining techniquesEffective communication skill and ability of independent study and researchDesirable skills:Java, Perl, ScalaHadoop, Spark, Storm, KafkaNoSQL databases: MongoDB, Time Series DB, RedisDistributed search engine: Solr, ElasticsearchMultiple languages (other than English) capability"
6Estates Pte Ltd,Back End Developer,"$1,000 ","KEY RESPONSIBILITIESDevelop big data visualization systemContribute in all phases of the development life-cycleREQUIREMENTSFamiliarity with Java, Spring MVC, JSP/Servlet, JDBCExperience with MySQL, Redis is a plus Knowledge and hands-on experience in git, maven, jetty etc is a plusInterested and knowledgeable in big data technology.Team player and meticulous in detailsAll students (approved educational institutions ~ http://www.mom.gov.sg/passes-and-permits/work-pass-exemption-for-foreign-students) are welcomed to apply.Those who possess a valid working pass may also apply.Fluent in English and Manda"
6Estates Pte Ltd,Front End Developer,"$1,000 ","KEY RESPONSIBILITIESIntegrate data from various back-end services and databasesCreate website layout/user interface by using standard HTML/CSS practicesREQUIREMENTSFamiliarity with HTML, CSS, JavaScript, jQuery.Experience with React, AugarlarJS or Vue.js is a plus.Experience with Content Management Systems (e.g. WordPress, Drupal) is a plus.Interested and knowledgeable in big data technology.Team player and meticulous in detailsAll students (approved educational institutions ~ http://www.mom.gov.sg/passes-and-permits/work-pass-exemption-for-foreign-students) are welcomed to apply.  Those who possess a valid working pass may also apply.Fluent in English and Manda"
