,Job Title,Job Description,Salary,Company
377,Operations Analyst,"  Our client is a global alternative investment firm that employs a value-based approach to investing across a broad array of geographies, segments and asset types, including real estate, credit and aviation. They currently have an Operations Analyst role for an aspiring candidate to perform the operations aspect on a range of investment deals.  Our client is a global alternative investment firm that employs a value-based approach to investing across a broad array of geographies, segments and asset types, including real estate, credit and aviation. OPPORTUNITY Work in a dynamic and fast-paced environment providing extensive operational support to the investing teams in Asia Pacific. Be part of a growing firm and play an important role in building the foundation for strong operational support and processes in the region. Be part of an international business and develop relationships with global teams as well as develop best practices. The successful candidate will have direct contact with:  Investment, accounting and operations professionals based in Asia Pacific, Europe and the USA Asset Managers, banks, prime brokers and corporate administrators SPV and fund accounting teams Legal counsel and tax advisors and investment vehicle  This is a multi-faceted position combining accounting, reporting, operational support and traditional finance duties, with exposure to pre- and post-closing investment activities. This role offers significant opportunity for professional development and the potential to develop leadership skills within the function. SUMMARY OF RESPONSIBILITIES  Provide operational support for Real Estate, Corporate and Specialty Finance investments Assist with the coordination and preparation of various reporting processes and information requests to global internal parties for the Asia Pacific investment portfolios Management and maintenance of internal financial data on Asia Pacific deals, including cashflows, valuations, senior financing balances and covenants, and performance measurement Ownership of the internal reporting system and participation in ongoing enhancement of in-house systems, including the opportunity to including project manage system improvements Act as subject matter expert in global project work as it relates to the operational aspects of the business Actively coordinate with deal support and SPV services teams in the setup of investment structures, funding, financing and valuation of deals Work with Investment Professionals and Operations team to build out liquid trade and lifecycle event processing capabilities in the Asia Pacific region  QUALIFICATIONS   Minimum of four years' experience in accounting, operations, or internal audit within financial services Professional accounting qualification such as ACA, ACCA or CIMA equivalent Excellent analytical, numerical and problem solving skills Advanced user of Microsoft Excel, with strong data manipulation skills Experience working with VBA and/or SQL, or other coding experience is advantageous Strong written and verbal communication, with proven acumen in report writing, data visualization and group presentations Proficiency with systems and system development Proven ability to work independently and take ownership of responsibilities     ",SGD60000.00 - SGD72000.00 per annum + Competitive Benefits,Cobalt Recruitment
381,Software Development Manager (Financial Institution),"  Software Development Manager (Financial Institution)  A leading financial institution is seeking an experienced Software Development Manager to manage a team of around 15 developers, testers and BAs for their in-house trading platforms. As they pride themselves as market leader, a lot of efforts are put into R&amp;D to keep them at the forefront of technology.   Responsibilities:   Provide technical leadership for the development and enhancement of globally delivered Java-based systems. Work closely with product managers and business users to deliver applications to streamline business processes using an agile delivery approach. Design and build web solutions that are resilient, secured and scalable to function in a global, 24/7 intensive business environment. Provide strategic direction and ownership of the software platforms, including the future technical direction of GUI front-end trading application. Communicate and promote technical choices to senior leadership, global stakeholders, and to team members.   Requirements:   At least 3-5 years of experience leading a similarly sized development team and at least 10 years of hands on experience with Java/ J2EE, JavaScript, HTML and CSS in developing large scale web solutions. High level of coding standards and have a solid understanding of different software development methodologies and best practices Experienced with CI/CD and test driven development Solid database experience (SQL, DDL/DML, data modelling ) and their platforms (SQL and NoSQL). Solid interpersonal skills and track record in leading and managing team across cultures.   If the above describes you, and you would like to be considered, kindly share your detailed profile via the APPLY button.  OR, if you have anyone in your network whom you think will be suitable, please feel free to email me as we value such partnerships through our Referral Rewards Program.  All correspondence will be treated with utmost confidentiality.  Morgan McKinley Pte Ltd  EA License No: 11C5502  Posting Personnel: Kyara Tan  Registration No: R1545432     ",Competitive,Morgan McKinley Singapore
382,Scalaz Developer,"  Scalaz Developer  Key Responsibilities    80% of time would be concentrated in programming    Responsible for developing, enhancing, modifying and/or maintaining applications within Global Markets environment    Software developers design, code, test, debug and document programs as well as support activities for the corporate systems architecture    Working closely with business partners in defining requirements for system applications   Key Requirements    We are looking for very strong developers with extensive experience building middle-tier services, who are self-starters and eager learners    Do hands-on programming in any language such as Python, Java, Scala or JavaScript.    Good understanding of common algorithms and data structures    Strong problem-solving and analytics skills   Desirable Skills    Development experience using functional programming libraries such as Scalaz, Cats, Lodash/FP or Ramda.js is a big plus.    Knowledge of KYC and CDD systems is a plus    Experience with web technology frameworks like Angular or ReactJS    Good communication and presentation skills    Experience in Linux operating systems in server environments    Experience working with GIT or other version control systems  If you feel you have the right skills and experience for the role, kindly submit your updated CV in word format to jchuah@morganmckinley.com.sg .  Referrals are greatly appreciated.  Morgan McKinley Pte Ltd  EA Licence No: 11C5502  EA Registration Number: R11874545  Registration Name: Jessica Chuah     ",Competitive,Morgan McKinley Singapore
383,Cloud Engineer with a Global Bank,"  Cloud Engineer with a Global Bank  Our client, a leading global bank is looking for a Java developer to join their team in the move towards open source, cloud based applications. The ideal candidate is someone who has strong hands-on experience with Java 8, exposure to multi-threading technologies and cloud deployment experience. What you will get in return is the opportunity to work with the latest technologies in a collaborative environment and an attractive remuneration package.  Responsibilities:   Responsible for the implementation and deployment of software solutions, including performance testing and fine tuning applications for optimal performance. Translate customer requirements into detailed technical specifications. Integrate Big Data platform best practices and techniques into processes and applications. Constantly explore new solutions and technologies, integrate learning and recommendations into business and development processes.  Requirements:   Bachelors of Computer Science with 7-10 years of working experience with hands-on Java 8 development experience, working with multi-threaded systems. Experience in the following is a must:  Hands-on solid Java development experience Multi Threaded Systems Cloud Deployment Experience Spring, Hibernate framework Camel Integration Framework  Experience in the following is a bonus  Experience working in an agile/scrum environment with experience in the role of Scrum Master CI/CD/RA experience Hadoop, Hive, Spark 2.0, Kafka, Impala Exposure to Machine Learning technology Exposure to Microservices MySQL, Oracle Openshift, Kubernetes, Docker) Solaris/Linux AngularJS or ReactJS/React Native Openshift / kubernetics / dockers   Interested candidates may apply directly or alternatively send an email to Benjamin Neo at bneo@morganmckinley.com.sg  Morgan McKinley Pte Ltd  EA No: 11C5502  Neo Kai Xuan Benjamin  Reg No: R1659873     ",Competitive,Morgan McKinley Singapore
389,Desk Quantitative analyst,"  Desk Quantitative analyst  My client is a top tier international bank who is looking for an experienced Front Office Quant developer/Desk Quant to join their robust and dynamic team. The candidate will have high visibility of the team and progression. The Ideal candidate should possess solid experience within pricing and risk models, managing interest rates and interest rates-hybrid products (Exotic products).   Responsilbilies    Provide quantitative analysis to traders, sales, structuring, and risk managers to support the Rates business in Asia Research mathematical and financial implications of new models, derive analytical and numerical pricing algorithms using advanced mathematical and statistical techniques Develop new and maintaining existing pricing models, improving the models whenever possible Build tools used by structuring and trading to efficiently price and hedge Interest Rates and Hybrid products Providing support and guidance to middle and back office teams on quantitative analysis related issues Conduct quantitative analysis on the models as well as numerous financial products' pricing and risk profiles, perform back testing and performance testing       Essential Skills    PhD, Masters degree in Mathematics, Physical Sciences, Engineering or related Quantitative Science 5-10 years experience in quantitative finance, ideally in desk quant roles Expertise in stochastic calculus and financial modelling, ideally Interest Rates Vanilla and term structure modelling Expertise in exotics products Strong programming skills in C++ and clear understanding of algorithms and data structures Experience with FX and Equities modeling, python  If you are qualified and interested in this role, please apply with your updated CV in WORD format below.  Morgan McKinley Pte Ltd EA License No: 11C5502 Registration No: R1659128 License Name: Phea Dan Shuo, Bella     ",Competitive,Morgan McKinley Singapore
393,Senior Automation Developer,"    Singapore   City Singapore   Job Type Full Time   Your role  Do you know how to provide applications that exceed expectations? Are you a crafty problem solver? We're looking for someone like that who can:   work in different roles across the whole solution lifecycle (requirement analysis, front- and back-end development, design, system integration, architecture, support, etc.)   analyze root causes of incidents and provide answers   document the provided resolutions   support the business with effort estimations and feasibility studies   perform code reviews and share results with colleagues   About us  Expert advice. Wealth management. Investment banking. Asset management. Retail banking in Switzerland. And all the support functions. That' what we do. And we do it for private and institutional clients as well as corporations around the world.  We are about 60,000 employees in all major financial centers, in more than 50 countries. Do you want to be one of us?   Your team  You'll be working in the End User Artificial Intelligence and Automation team developing end user automation and solutions based in Singapore. . Our role is to plan and business end user metrics platforms to create actionable intelligence. We help by developing automated processes to reduce repetitive work and stabilize internal systems.   Your experience and skills  You have:   several years of experience as software developer, within financial services a plus   experience with WinForms, ASP.NET, MVC, JavaScript, AngularJS, MS SQL Server, MS Office development, Windows Service development and unit testing (or the equivalent of these)   Expert knowledge in web development tools and data modeling   fluency programming in C# or VB.NET with MS Visual Studio   Ability to build client side applications viewed in web browsers and mobile devices   Ability to develop tools leveraging multiple and complex data sources   History of successfully developing applications meeting business requirements   Experience in integrating UX design and engineering into products providing the best User Experience   strong analytical, problem-solving and synthesizing skills (you know how to figure stuff out)   What we offer  Together. That' how we do things. We offer people around the world a supportive, challenging and diverse working environment. We value your passion and commitment, and reward your performance.  Keen to achieve the work-life agility that you desire? We're open to discussing how this could work for you (and us).   Take the next step  Are you truly collaborative? Succeeding at UBS means respecting, understanding and trusting colleagues and clients. Challenging others and being challenged in return. Being passionate about what you do. Driving yourself forward, always wanting to do things the right way. Does that sound like you? Then you have the right stuff to join us. Apply now.   ",Competitive,UBS AG
394,Quantitative Specialist for Operational Risk and Monitor Models,"    Singapore, Switzerland - Z    City Singapore, Z    Job Type Full Time   Your role  Are you an expert in data analytics? Do you enjoy understanding models and their background? Are you organized with an eye for detail? We're looking for someone like that to:   review and challenge models used in operational risk management   assess the conceptual soundness and appropriateness of different models and perform related outcome, impact and benchmark analyses   run analyses on implementations to assess their correctness and stability   carry out and document independent model validation in line with regulatory requirements and internal standards   interact and discuss with model users, developers, senior owners and governance bodies   support regulatory exercises   About us  Expert advice. Wealth management. Investment banking. Asset management. Retail banking in Switzerland. And all the support functions. That' what we do. And we do it for private and institutional clients as well as corporations around the world.  We are about 60,000 employees in all major financial centers, in more than 50 countries. Do you want to be one of us?   Your team  You will be working in Model Risk Management &amp; Control function within the Group Chief Risk Officer organization. Our role is to understand and assess the risks associated with the use of models throughout the bank. We focus on models which determine operational risk capital as well as models used to monitor operational risks such as money laundering, rogue trading or market manipulations. The complexity ranges from simple rules based approaches to sophisticated statistical and machine learning based methods.   Your experience and skills  You have:   a MSc or PhD degree in a quantitative field (e.g. mathematics, physics, statistics, engineering, economics or computer science).   experience in model development or validation of statistical/mathematical models.   familiarity with the global financial industry and its compliance and operational risks.   expertise in data assembling and analysis, computational statistics, anomaly detection or machine learning including relevant programming skills, for example in R, Python, Java, C++, or SQL  You are:   able to explain technical concepts in simple terms to facilitate collaboration   willing to create your own brand in the group and companywide   skilled at constructive criticism (you have the human touch)   What we offer  Together. That' how we do things. We offer people around the world a supportive, challenging and diverse working environment. We value your passion and commitment, and reward your performance.  Keen to achieve the work-life agility that you desire? We're open to discussing how this could work for you (and us).   Take the next step  Are you truly collaborative? Succeeding at UBS means respecting, understanding and trusting colleagues and clients. Challenging others and being challenged in return. Being passionate about what you do. Driving yourself forward, always wanting to do things the right way. Does that sound like you? Then you have the right stuff to join us. Apply now.   ",Competitive,UBS AG
402,"Wealth Management, UI / UX Front End Software Engineer, Associate","  Wealth Management, UI / UX Front End Software Engineer, Associate  JPMorgan Chase is a leading global financial services firm with assets of over $1.1 trillion and operations in more than 50 countries. The firm is a leader in Investment Banking, Financial Services for consumers and businesses, financial transaction processing, asset and wealth management, and private equity. Under the JPMorgan and Chase brands, the firm serves millions of consumers in the United States and many of the worlds most prominent corporate, institutional and government clients.   Asset Management   J.P. Morgan Asset Management is a leading asset manager of choice for institutions, financial intermediaries and individual investors, worldwide. With a heritage of more than two centuries, a broad range of core and alternative strategies, and investment professionals operating in every major world market, we offer investment experience and insight that few other firms can match.  Clear focus on managing client assets and delivering strong risk-adjusted returns  More than 650 investment professionals providing over 200 different strategies spanning the full spectrum of asset classes, including equity, fixed income, cash liquidity, currency, real estate, hedge funds and private equity Leadership positions in America, U.K., Continental Europe, Asia, and Japan .   Position Summary:  WM Connect is a strategic initiative to move the end to end technology stack within wealth management to a cloud based micro service architecture with intuitive user experience designs. It is a transformational program for the organization and the agenda is being driven by next generation development toolsets and agile software development practises. High performance scrum teams are achieving this with complete ownership of independent modules (being treated as a product).     Participate in technical design, provide input to the design recommendations; incorporate security requirements into design; and provide input to information/data flow.   Participate in project/agile planning sessions with project managers, business analysts and team members to analyze business requirements and outline the proposed solution.   Document the detailed application specifications, translate technical requirements into programmed application modules and develop/Enhance software application modules.   You will also adhere to IT Control Policies throughout design, development and testing and incorporate Corporate Architectural Standards into application design specifications.   Participate in code reviews and ensure that all solutions are aligned to pre-defined architectural specifications; identify/troubleshoot application code-related issues; review and provide feedback to the final user documentation.   Profile: University degree (B.S. Computer Science preferred); 7-10 years experience with Java / J2EE development working on large and medium scale software projects. Experience in the Financial Services industry is added advantage.    Required Skills:       Experience in object oriented programming, core Java knowledge, &amp; J2EE experience;   Experience with Spring and Hibernate   Experience with WebServices, particularly RESTful services;   Exposure to micro service based architecture   Self-motivated and previous financial industry experience;   Openness with supporting application through production as necessary   Knowledge of SDLC (Software Development Life Cycle) &amp; Agile methodologies   Knowledge of relational database and experience with SQL and Stored Procedures (Sybase Preferred)    Additional Preferred Skills:     Exposure to Cloud technologies   Exposure to Agile development process.   Experience with IntelliJ   Working knowledge of Java SDK 1.6+, Websphere Application Server 7, Tomcat   Strong written and verbal communication skills.   Coordinate with global counterparts for development activities.   Good interpersonal skills, having positive approach and team player.   Challenge and suggest requirements, enhancements to the platform   Good prioritization and time management in a fast paced environment.   A proactive approach to problem solving and decision making.   Proven application delivery track record.   Ability to provide solutions to a tight deadline and customer focus mind-set.     ",Competitive,J.P. Morgan
404,Treasury & Market Risk Murex Systems Analyst   Market Risk," Treasury &amp; Market Risk Murex Systems Analyst   Market Risk     The candidate is expected to have an active participation in the following:    Analysis and completion of Functional, Technical and Systems specifications   Design, development, testing, automation and optimization of VaR, MRA/MRE, Market Risk and Scenario reports   Contribute in test case creation, review and execution   Conduct assessment, investigation, troubleshooting, reconciliation and verification throughout project lifecycle   Undertake design re-assessment and code/configuration fixes where required   Establish baseline versions of configuration/scripts and perform merging and retrofitting of changes to designated environments   Deliver artefacts according to SDLC requirements throughout project lifecycle, including post-implementation and supplementary documentations   Contribute in preparation, handover, implementation and post-implementation activities   Contribute in project task planning and reporting   Contribute to the deliverables in other streams where required   Work towards improving quality of delivery and increasing productivity   Participate in proof-of-concept activities, effort assessment and implementation for new solutions   Contribute to foster effective communications with peer project members and project stakeholders     Qualifications    4+ years of hands-on experience in Murex domain as Murex Analyst with in-depth experience in Murex Risk modules in MXG2000 and MX.3, including Trade/Position simulation, VaR, MRA, MRE and Risk Reporting   Experienced in end-to-end functions, build, configurations, reports and batches to implement variation of market risk metrics, including VaR, Greeks, Stress-testing and Backtesting in both MXG2000 and MX.3   Experienced in Murex datamart, simulation views, dynamic tables, feeders and batches   Good understanding of PL-vector representations and statistical analysis, underlying settings and configurations in MRA/MRE for online viewing, analysis and reporting   Good understanding of Murex 2.11 and MX.3 architecture/environments and working experience with data model relevant to VaR/Market risk analysis and reporting   Good understanding of financial markets cash and derivative products and their representation in Murex   Good understanding of trade lifecycle, market data, pricing/revaluation, generic/specific market scenarios and their applications   Experienced in troubleshooting, reconciliation and investigation in the areas mentioned   Experienced in working with Oracle PLSQL and Unix shells   Experienced in SDLC life cycle compliance and delivery of SDLC artefacts   Experienced in working with Business stakeholders and Technology partners   *LI-CY  ",Competitive,OCBC Bank
408,"AVP, GFCA-Group Accounting Policies"," AVP, GFCA-Group Accounting Policies  Role and Responsibilities      Prepare, analyse and provides regular updates on the impact of SFRS (I) 9 provisioning estimates   Works closely with the Group Financial Reporting team to identify and prepare for required disclosures in financial statements     Reports to:    Head, GFCA-Group Accounting Policies   *LI-MLIU   Qualifications   Requirements:      Good degree in accountancy, finance, computer science or equivalent professional qualification.   Financial professional with at least 6 years' experience in the financial services or consultancy sector.   Strong data analytical skills with well-rounded experience in various core finance areas and familiarity with financial instruments. Knowledge on SQL and Quikview will be an added advantage.   Good oral/written communication and presentation skills.   Good interpersonal skills and the ability to foster collaboration with internal and external parties.    ",Competitive,OCBC Bank
409,Business Analyst,"  One of world' largest Corporate and Investment Bank is seeking a talented BUSINESS ANALYST to join their high profile team in Singapore, for Core Banking Payment system implementation project.   In a challenging and multicultural environment, we seek a Business analyst to join our Core Banking IT department which is in charge of developing and maintaining the International Back Office Cash Management System.   This information system is deployed in 25 business units all around the world. The system has multiple modules to manage reference data, commercial back office functions (payments, remittances, loans, deposits, guarantees, letters of credit  ), accounting, management control and credit risk monitoring. The system caters to local regulatory reporting needs and head office reporting, based on a data warehouse.   The candidate will work to implement new solution for the Payment system of the bank, working in a team with developers, PM, tech Lead and co-business analysts.   Responsibilities  Main roles:   Propose solutions for the new requirements Manage estimation and planning for the daily work Manage communications with users and sponsors Write functional specifications for enhancements Prepare functional test cases and manage BA' tests to validate the development of the solution Manage functional risks and escalate with defined actions. Keep up-to date the existing documentation (presentation of the tool, use guide ) Communicate with deployment team for delivery via the release note and support team for support Provide and monitor 3rd Level application support under the team scope Organize Problem solving sessions to understand why we had issues in production Be pro-active to propose improvement on current application  Requirements   At least 4 years relevant business analyst experience in Payment domain Good knowledge in Payment area like interaction with Clearing, payment file formats ISO20022, SEPA and SWIFT Basic knowledge on accounting Basic knowledge on acquisition and reporting for cash management Knowledge of all phases of IT system development and implementation life cycle Experienced in relational databases, business intelligence tools (e.g. Business Objects, Oracle SQL) Strong organizational and communication skills Strong analytical and problem solving skills    Interested applicants please submit your full resume stating clearly the following:  Current salary Expected salary Notice period Nationality Working visa requirement    We regret that only shortlisted candidates will be notified.   Hydrogen Group Pte Ltd. EA No: 09S2930    ",SGD3000.00 - SGD5000.00 per month + Attractive benefits,Hydrogen Group
410,HTML5 UI Developer," Due to increasing demand by regulators and by internal risk managers, SCB is centralising all Reporting, Workflow, and Visualisation across the Risk verticals under Functions Technology. This will involve the development of a strategic Market Risk platform using the ActivePivot in-memory OLAP cube technology and HTML5 UI. PURPOSE:  Due to increasing demand by regulators and by internal risk managers, SCB has decided to centralise all Reporting, Workflow, and Visualisation across the Risk verticals under Functions Technology. This will involve the development of a strategic Market Risk platform using the ActivePivot in-memory OLAP cube technology and HTML5 UI. The candidate will work closely with the other team members and senior stakeholders in order to design and implement critical strategic data analysis solution.     RESPONSIBILITIES:  * Demonstrate a systematic and disciplined architecture, system design and programming approach following a standard software development lifecycle * Meticulous attention to detail and strong focus on clear and practical documentation * Work closely with senior management, Development Manager, Project Manager, and a team of developers. * Design, Code, Unit Test and support Software components * Deliver quality software in a time following standard software development processes * Analyze problems raised in software development or production environments and provide timely solutions * Prepare and maintain system documentation, including program descriptions, flowcharts and operational procedures. * As the second line of support during production problems.   KNOWLEDGE AND SKILLS:      Technical Knowledge  * Excellent understanding of HTML5, JavaScript (ES6), TypeScript, React.js, Redux, Redux Observables, RXJS, CSS3, SASS, Enzyme, Mocha * Experience of Bootstrap and knowledge of Node JS * Knowledge of open source solutions and trending technologies * Exposure to broader web technologies such as RESTful API * Knowledge of Java, Scala and the JVM, and a willingness to learn * Strong understanding of web standards, security, accessibility, browser compatibility * Knowledge of PL/SQL and preferably Oracle database * Ideally exposure to ActivePivot OLAP technology or Microsoft Analysis Service (SSAS), MDX/XMLA Development Tools * Demonstrable Experience of TDD and BDD Knowledge with tools such as JsUnit, Mocha, Karma, JUnit, Cucumber * Exposure to Continuous Build and Deployment Solutions such as Jenkins / Bamboo * Exposure to GIT / Stash, JIRA with a sound understanding of Feature Branching * Maven, SonarQube, Artifactory * Functional understanding of the terminal (Cygwin, Bash etc) * Comfortable with IntellJ IDEA, WebStore, VSCode etc   Development Methodologies and Practices * Worked within an Agile environment using methodologies such as Scrum / KanBan / XP and Lean * Sounds and Demonstrable knowledge of Design Patterns, OO Programming and when to use patterns including Knowledge Complex Event Processing, CQRS, Event Sourcing * Interest or Working Knowledge of NoSql Repositories     Preferred Domain Knowledge * Good Market Risk domain experience preferred however is not essential. Domain knowledge on financial instruments and derivatives, trading and risk management, market data, and market risk processes and methodologies. * Good understanding of risk measures, risk analysis and reporting. * Knowledge of at least one specific asset class / line of financial instruments would be valued.   Other Preferred Skills * Candidates with a demonstrable ability high quality UI and UX are welcome * Big data experience such as Spark, Hadoop * Strong analytical &amp; problem solving and creative skills * Good communication skills in both written and oral English. * At least 4 years of hands on experience working in a bank or Financial Institution * Ability to be organised and multi-task on different requirements across various stakeholders, and to work independently and under pressure * Cultural sensitivity and awareness to work with a range of people from diverse background and geographies * Should have a technical or numerate degree in subjects such as Computer Science, Engineering, Mathematics or Economics, advanced degree preferred       ",SGD1 - SGD200000.0 per annum,Standard Chartered Bank Singapore
413,"Aladdin Business, Aladdin Client Engagement, Associate","  BlackRock helps investors build better financial futures. As a fiduciary to our clients, we provide the investment and technology solutions they need when planning for their most important goals. As of March 31, 2018, the firm managed approximately $6.317 trillion in assets on behalf of  BlackRock helps investors build better financial futures. As a fiduciary to our clients, we provide the investment and technology solutions they need when planning for their most important goals. As of March 31, 2018, the firm managed approximately $6.317 trillion in assets on behalf of investors worldwide. For additional information on BlackRock, please visit www.blackrock.com | Twitter: @blackrock | Blog: www.blackrockblog.com | LinkedIn: www.linkedin.com/company/blackrock.   Job Description:   The Aladdin Client Engagement (ACE) group manages the partnerships formed with each BlackRock Solutions client and is the trusted advisor, problem solver and business partner to Aladdin clients. They are the key point of contact and are charged with driving, deepening and growing the relationship over time through product and analytics knowledge. The Client Manager is highly focused on understanding the needs and evolving priorities of client organisations and on providing analytical and investment process solutions that leverage the capabilities of the entire BlackRock Solutions organization.  Are you a highly motivated professional interested in building a career in FinTech? Can you shape and enhance clients' investment processes? Do you thrive on working with clients to solve complex problems? Can you deliver in a fast-paced environment and demonstrate resilience in the face of challenges? If this sounds like you, then join our Aladdin  business. As a member of one of BlackRock's fastest growing areas you will have the commercial and client-facing skills to help with a variety of risk management and investment process needs   using cutting edge technology to help some of the largest institutions and investors in the world. In this role, you will:  Serve as a trusted advisor to our clients, driving to identify, understand, and solve complex problems Own relationships with client teams, including senior management (e.g. Chief Investment Officer) Build strong internal relationships within BlackRock Solutions, and the wider BlackRock, in support of your clients Develop a deep understanding of your client's business objectives, and help leverage Aladdin expertise to achieve their organization's goals Provide impactful solutions, combining investment lifecycle expertise with your knowledge of financial markets Work closely with Aladdin product managers, developers, and financial modelers to further the value proposition of the Aladdin platform  We have:  The feel of a start-up with the backing of the world's largest asset manager A dynamic environment where professional growth opportunities abound The chance to help clients achieve challenging strategic objectives ranging from streamlining workflows and integrating business lines to designing tailored investment and risk analyses An organization that prides itself on delivering a superior user experience  You have:  A foundational understanding of portfolio analytics and modeling paired with a keen interest in financial markets Fixed Income market experience and understanding of capital markets A consultative approach to understanding client needs and a passion for solving problems Familiarity with buy-side investment management workflows Strong interest in technology and an aptitude for learning new systems The ability to translate innovative ideas into action Emotional ownership, pride in what you do and a strong team ethos  2-6 years of experience in Financial Technology, Consulting or Buy Side firm.  A willingness to travel and be on site with clients as required  You may have:  CFA, FRM or other qualifications A track record building client relationships Direct portfolio management, trading, compliance, or operations experience A working knowledge of SQL, UNIX shell, or a modern programming language  Who are our clients? Portfolio managers, risk professionals, operations experts, and data analysts at all levels of an organization. The Aladdin platform empowers users from all walks of life to achieve their investment and risk management goals by providing them with direct access to the best in class investment technology, cutting edge risk modelling methods and a dedicated team of service specialists. We pride ourselves on delivering a differentiated service, not software    BlackRock is proud to be an Equal Opportunity and Affirmative Action Employer. We evaluate qualified applicants without regard to race, color, national origin, religion, sex, sexual orientation, gender identity, disability, protected veteran status, and other statuses protected by law.    BlackRock will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the law, including any applicable fair chance law.    ",Not Specified,BlackRock
424,"Technofunctional Consultant (IFRS 9, Regulatory Reporting, SQL, SSRS, SSIS)","  Global Financial Technology vendor | Delivery/Implementation role | Positions open in Singapore, Malaysia &amp; Australia  Our client, a global financial technology vendor with a strong reputation in risk &amp; compliance solutions in the banking and finance space, is looking to hire an experienced Delivery professional to cover the South East Asian region. . As a key member of the team, you will play an instrumental role in successfully delivering quality and cost effective professional services to our clients; supporting the implementation of the organisation's solutions effectively and efficiently at customer sites. There continues to be a high demand for solutions within this space and this company and team is strategically positioned to face high levels of growth in this region. . You will be involved in activities such as:  Identify data sourcing requirements and data requirements Conduct data gap analyses Conduct interface mapping Create Business Requirement Documents as required Conduct technical training Ensure effective client engagement and management  . You will possess:  5 years' experience in implementing Banking Solutions in the capacity of a technical consultant Demonstrated knowledge of IFRS 9 and/or Regulatory Reporting solutions Experience in IFRS 9 and/or regulatory reporting Demonstrated strong programming skills (PL/SQL, SQL, Java/any other programming Language) Demonstrated RDBMS experience (Oracle, SQL Server)  . Interested candidates can forward their CVs in MS Word format to anchal@datasearchconsulting.com for a confidential discussion. . Datasearch Consulting Pte Ltd | Licence no. 17S8525 | Reg No. R1873033   ",SGD 100K Base + Bonus,DATASEARCH CONSULTING PTE. LTD.
425,"Officer - Software Developer, Information Technology","  Application Development, Deployment and Maintenance  The Job:  Involve in database design and maintenance. Involve in developing and implementing in-house applications. Involve in system maintenance and enhancement on change of business rules. Involve in testing and integrating with 3rd party software. Support users on in-house developed systems. Assist on generating the Ad-hoc reports requested by users.  Requirements:  Diploma or degree in computer science, engineering or closely related discipline that includes a networking component At least 3 year(s) of working experience in the related field is required for this position Microsoft Certified Technology Specialist, .Net Framework 4 (Web Applications) Microsoft Certified Technology Specialist, .Net Framework 4 (Data Access) Microsoft Certified Technology Specialist, .Net Framework 4 (Service Communication Applications) Microsoft Certified Professional Developer (Web Developer 4) Proper knowledge on financial instruments of Futures and Forex. Proficient in Microsoft C#, ASP.Net, Crystal Report Knowledge of Java script, HTML,CSS, Experienced in using Microsoft SQL.Server 2005, 2008, 2012, 2014 FIX Protocol, WinSCP, MS Command-line and Powershell scripting. Strong interest in software development Good command of English written and oral communication skills Experience in Securities, Derivative and Forex Trading Instrument will be an advantage    ",Competitive,Haitong International Securities (Singapore) Pte. Ltd.
432,Developer,"  As a senior developer, you'll be responsible for delivering quality software to tight timelines. Based in Singapore and working in a dynamic global team with other technologists, business analysts, project managers and business stakeholders across multiple locations.    The Derivatives Pricing team is responsible for cross-product transactional pricing of derivatives within Standard Chartered. The development team is driven to provide world class technology to support the bank' Financial Markets business. We bring a deep understanding of the domain, a scientific approach, and innovative solutions to bear on the challenges of best servicing our customers in a highly competitive environment. This is a rare opportunity to join an organization working with smart technologists globally in the financial markets domain. The culture in the team is open, intellectual, and fun. Learning opportunities are plentiful and career advancement is always waiting for those high-energized talents willing and able to step up.  Key Attributes  An excellent Java developer with good software design principles and the ability to write robust code and accompanying test suites Ability to design and build smart, scalable solutions to tight deadlines Ability to write efficient, clear code and be able to articulate what has been implemented and why Experience working in an agile development environment Self-starter who can drive/facilitate requirements and development effort Take ownership and responsibility for the full development lifecycle A team player, capable of engaging with other teams in Technology Experience in the end-to-end design, development and support of financial markets systems Ability to work and liaise directly with the Front Office, Middle Office, Product Control and various risk functions Provide second line support Familiarity or experience in micro-services and container technologies (preferably Docker) Familiarity with CI/CD and DevOps Any experience in distributed data stores a plus Functional programming experience a plus FIX experience a plus    Qualification &amp; Skills  Technical skills:  5+ years hands on development with investment banking IT experience Core Java (essential) Ability to develop latency sensitive systems Agile development Development experience on functional language, such as Haskell, is a plus. Any experience with NoSql/Spark could be advantageous (depending on the role) Experience with git and Atlassian toolset   Functional skills:  Financial Market domain knowledge Investment banking is a strong plus Derivatives business is a plus   Soft skills:  Fluent in English (speaking and writing) Outstanding problem solving skills Proactive, self starter, autonomous Good team spirit Ability to work under pressure with multiple assignments   General:  Strong architectural and engineering background with experience of delivery. Strong Java skills Strong knowledge and previous experience in end-to-end design, development and subsequent support of large scale data processing systems Familiarity and confidence working in an agile development environment. Someone who can drive / facilitate the requirements and development effort with the business.      ",Negotiable,Standard Chartered Bank Singapore
