,job_title,company,employment_type,salary,job_description
541,"Data Engineer (Hadoop ETL, Data Science Team) - perm in Banking",DAVID & GOLIATH PTE. LTD.,"Permanent, Full Time","$6,000to$10,000Monthly","Roles & ResponsibilitiesAre you an exceptional Data Engineer with established competencies around
Hadoop, ETL, Oracle PLSQL? Do you have an exceptional Data Engineering career and know how to create material impact in the space? If so, this could be the career opportunity for you !! 
 Data Engineer (Hadoop ETL, Data Science Team):
  
 We are looking for a dynamic, self-motivated and technically competent individual who has an interest in data and technology  data architecture, data modelling, data integration etc. Specialising in the Data domain, you will work in a high-pace data engineering team that is delivering and supporting the Investment Banks data needs. 
  Work closely with data analysts, data scientists and business end-users to implement and support data solutions using best-of-breed technology and methodology. Conduct requirement workshop with business users and analyse requirements holistically. Design robust and scalable solutions to meet business needs and takes operational considerations into account. Demonstrate technical expertise in the assigned area. Analyse, tackle and resolve day-to-day operational incidents and advisory to business users Analyse systems operations data (SLAs, customer satisfaction, delivery quality, team efficiency etc.) to identify actionable trends for continual improvements. Play an active role in the project coordinating between internal resources and third parties/vendors for project execution. Provide technical coaching and guidance to juniors  RequirementsIn return for this excellent career opportunity, we ask that you have the following:  Bachelor degree or equivalent in Computer Science, Data Science or Engineering degree Relevant working experience in Oracle PLSQL data modelling, data integration, preferably in an investment and banking environment. Experienced with the Systems Development Life Cycle implementation methodology (SDLC) and/or agile methodologies like Scrum and Kanban. Good team player, with strong analytical skills and enjoy complex problem solving with innovative ideas Strong communication/people skills required to interact with data analysts, business end-users and vendors to design and develop solutions Passion for data and technology Good at working with details and is meticulous for operations.  
 Not Required but good to have:  Experience working with enterprise databases using database technologies (PL/SQL, SQL, NoSQL) and data integration products (e.g. Informatica) Experience in programming language in Python, Java Linux family of OS CFA equivalent certifications would be an added advantage.  
 Big Data  Hadoop Technologies: HDFS, Zookeeper, Yarn, Spark, Hive, Impala, Sqoop, Solr, ELK, Flume, Kafka Hadoop Platforms: Cloudera, Databricks NoSQL Databases: Neo4J, Cloud based Big Data Services: AWS EMR, Azure HDInsight Elastic Search  
 Scripting  Shell Script Servlets, JSPs, JSTLs Apache Olingo JPA RESTful Data API  
 *Disclaimer:




 Candidates who are shortlisted will go through Video Interviews, Data Engineering, ETL Technical Tests and Face to Face interviews. 
 If this speaks to you and you are ready for a new challenge, please send your Resume in MS word format to bennie.yeo@davidgoliath.net Even if you are not interested, you can still park your CV with us for other Banking IT positions or forward this Advertisement to your counterparts with the relevant Banking IT experiences I am looking for. 
 We Seek to:  Understand your personal circumstances, needs and ideals Present your credentials to our clients only with your permission Strategize and consult with you  
 Your application will be kept with the strictest of confidence. 
 EA License Number: 18S9167 Registration ID: R1114115"
542,"Vice President, Business Analyst",Company Undisclosed,Full Time,"$9,000to$13,500Monthly","Roles & ResponsibilitiesWe are presently seeking candidate for the position of IT Business Analyst for Financial Accounting/Procurement Systems, based upon SAP ECC6 platform. 
 Role and Responsibilities:  Facilitate IT related projects for UOB Group and APAC branches that may be assigned from time to time.   Understand business function and analyse user requirements, make a clear scope of project and build consensus with users (Create Project Management Plan). Lead in analysis and scoping of data sourcing and functional enhancements, functional/application design, functional specification discussion, and obtain users agreements. Obtain commitments from all identified stakeholders on creation of project plan and handle of project change management. Create project schedule, project activity list and control to keep the schedule and within budget. Communicate all key project plans, commitments, and changes including requirements, QA plans, schedule, and scope changes. Arrange with users to conduct User Acceptance Test and arrange with vendor (where relevant) to prepare necessary test environment and support functional testing. Produce Deployment, Run Books and Implementation Plans. Prepare necessary documents to facilitate and deliver the project (Release checklist, UAT results, etc.). Communicate project details and schedules to the Business as required. Lead and co-ordinate Go-Live activities, including the execution of the deployment plans and checklists. Ensure that the delivery of assigned projects meet or exceed user expectations. Review post implementation issues coming out from project implementation. Manages risks and resolve issues for production incidents assigned. Manages relationships and coordinate work between different team members, and with developer resources. Will need to understand impacts of branches and code merges arising from needs of conflicting projects, change requests, and production incident fixes. Will need to closely supervise developer resources work, and ensure that quality coding practices and processes have been observed. Continually works towards making improvements in the FA teams processes.  
 Requirements Bachelor's degree in Computer Science or related field. 5-10 years of previous project management experience, with exposure to project management best practices/ methodologies/ project lifecycle. 5-10 years of supporting SAP ECC6 environment from a functional perspective, with solid understanding of Flexible Real Estate (RE-FX) and Asset Accounting (AA).
 Working knowledge of Finance and Controlling (FICO), Budget Control System (BCS), Material Management (MM) and Workflow Management functionalities is preferred. Working knowledge of SAP ABAP programming language, Control-M schedule, and JIRA issue management tool is preferred. Formal training in project management practices preferred. Demonstrated effective leadership and analytical skills. General PC knowledge including Microsoft Office with expert level knowledge of Excel, and working knowledge of MS Access. Experience with IT support of Financial Accounting and Procurement business functions is preferred.   Capability in requirement analysis and functional design skills in an SAP ECC6 environment. Capability of self-learning and a quick learner. Be adaptable, flexible and be able to thrive in a challenging, fast-paced and growing organization/environment. Good communication (written and oral) skills. Ability to network and influence others without direct oversight or supervision. Ability to develop and maintain productive working relationships with colleagues in distributed global locations. "
543,Associate  /  Senior Data Scientist,NCS PTE. LTD.,Full Time,"$4,500to$8,000Monthly","Roles & Responsibilities Work with customers to identify opportunities where Artificial Intelligence (AI), Machine Learning (ML), and Advanced Analytics (AA) can be applied to data to solve the customer painpoints. Individually or collaborate with other team members to develop AI/ML/AA prototypes/Proof-of-Concept/Proof-of-Value to derive actionable insights from data. Collaborate with the customers and internal stakeholders to architect the overall supporting storage and compute infrastructure to support the deployment of the AI/ML/AA models, applications, and visualisation of the results.

 Collaborate with the relevant project managers to conceptualise, develop project scope, requirements, budget, and timeline for the implementation of the identified AI/ML/AA projects. Implement the AI/ML/AA projects and to ensure that the projects AI/ML/AA objectives are met.  

 Requirements PhD/Masters/Bachelors (with good honours) in Computer Science, Statistics, Applied Mathematics, Operations Research, or related disciplines. Prefer candidates with 3 or more years of working experience, with at least 2 years of Artificial Intelligence (AI), Machine Learning (ML), and Advanced Analytics (AA) experience. Domain experience in public safety, defence, transport, education, and healthcare are highly desired. AI/ML/AA experience in smart city, social media, and procurement are also highly desired.
 Good knowledge of AI/ML/AA models, software, and tools with the ability to conceptualise and architect the key components of AI/ML/AA projects; and to develop prototypes using statistical software packages such as R/SAS/SPSS. Experience working with very large data sets, including statistical analyses, data visualization, data mining, and data cleansing/transformation and machine learning. Experience in solutions using technologies such as Hadoop/Hive/Hbase/NoSQL and developer skills in Python, Perl, and Java are highly desired. "
544,Scientist (Data Analytics)  /  I2R (A*STAR),A*STAR RESEARCH ENTITIES,"Contract, Full Time","$4,500to$9,000Monthly","Roles & ResponsibilitiesAbout the Institute for Infocomm Research (IR) The Institute for Infocomm Research (IR) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapores largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg We are looking for a capable and responsible scientist to work on and make contributions to big data analytics in particular for various applications in healthcare and advanced manufacturing and engineering (AME) domains. Successful candidates will be involved in the execution of both industry projects and research projects. In addition, the candidate is also required to participate in the drafting of grant proposals and project scoping with industrial partners and/or public sector entities. Not confined to that of healthcare and AME, the candidate will be given opportunities to participate in projects bringing innovation to various economic sectors, including that of the financial service industry entities. Requirements PhD in computer science, computer engineering, mathematics and statisitcs, data science intensive programs with expertise in one or more of the following areas: Data mining, data management, machine learning etc Minimum 2 years of relavant experience Ability to work independently to innovate and develop prototypes to demonstrate the feasibility of research ideas Good knowledge on data analytics/machine learning/ data mining and experiences in solving real-world data science problems Proficient in Python, R, Matlab, C++ or Java Able to deliver under tight schedule Good team player with both research and engineering ethics Good interpersonal and communication skills Prior experience with time-series forecasting is a big plus Prior experience with healthcare and
AME industry is a plus  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
545,Required Data Scientist,PATH INFOTECH PTE. LTD.,Permanent,"$6,500to$8,500Monthly","Roles & Responsibilities Perform the full life-cycle of data analytics activities, including conceptualization, visualization and operationalization
 Perform data capture by defining requirements or developing adaptors to pull data from various control systems Design rich Data Visualization Conduct statistical modelling and employ deep machine learning techniques to define and build models  Develop prediction systems and design effective data delivery mechanisms 
  Degree in Software Engineering or equivalent, with specialisation in Data Analytics / Machine Learning Minimum 2  3 years of relevant experience in Java software development Minimum 1  2 years of relevant experience in machine learning pipelines, data ingestion, feature engineering, and model selection, training, validation and deployment Familiarity with Agile software development methodology and coding in various languages (Java, Python, #C) Proficiency in database management (Hadoop, NoSQL ,etc)
 Ability to derive actionable insights from large data sets  Ability to communicate, present and influence internal and external stakeholders 
 Requirements Perform the full life-cycle of data analytics activities, including conceptualization, visualization and operationalization
 Perform data capture by defining requirements or developing adaptors to pull data from various control systems Design rich Data Visualization Conduct statistical modelling and employ deep machine learning techniques to define and build models  Develop prediction systems and design effective data delivery mechanisms 
  Degree in Software Engineering or equivalent, with specialisation in Data Analytics / Machine Learning Minimum 2  3 years of relevant experience in Java software development Minimum 1  2 years of relevant experience in machine learning pipelines, data ingestion, feature engineering, and model selection, training, validation and deployment Familiarity with Agile software development methodology and coding in various languages (Java, Python, #C) Proficiency in database management (Hadoop, NoSQL ,etc)
 Ability to derive actionable insights from large data sets  Ability to communicate, present and influence internal and external stakeholders 
"
546,Project Manager  /  Business Analyst MIFIR,ADDSTONES SAS,Permanent,Salary undisclosed,"Roles & ResponsibilitiesGFI is an international IT services company, currently employing about 15,000 people Worldwide. GFI provides its clients with innovative, long-lasting industrial solutions to leverage performance from their information systems. We design and runs industrial platforms tailored to the economic and human considerations of its clients.  Management Consulting | Digital Transformation | Innovation  Operating over 20 countries,  2017 revenue of over 1,2 billion USD  48 years of existence. In order to support our forthcoming businesses and technological challenges, we seek innovative and agile people sharing our mind set. We are now looking for a Project Manager/Senior Business Analyst to join our Singaporean team. General presentation of the position: The project consist in introducing a building a transaction reporting systems according to the newly introduced European MIFIR regulation. Role and Responsibilities: As Project Manager :  Ensures transparent and efficient communicate between all stakeholders of the projects: back-office users, back-office management, development team, vendor, test team, integration team. Defines project plan Manage project progress against project plan Prepare business case (cost and benefit analyst) Follow-up technical architecture definition and validation (CAM process) Prepare and present Steering Committee, incl: Project progress Budget consumption Functional scope Risks and issues  As Lead Business Analyst:  Define requirements using interviews, document analysis, requirements workshops, site visits, business process descriptions, use cases, scenarios, business analysis, tasks and workflow analysis. Produce comprehensive and clear functional requirements document (GFS) according to WMIS standard templates & methodology Collaborate with IT teams and subject matter experts to establish the technical vision and analyze tradeoffs between usability. Allow and help the users to obtain a User Test Plan Coordinate and help performing user testing (UAT) to certify the implementation Maintain close contact and collaboration of the development teams. Define the deployment plan Identify risks impacting scope, timeline, cost, etc. to the project manager and/or stakeholders as appropriate.  Requirements Min 4 years of experience in the banking industry as Project Manager (managing developers, reporting to Sponsors, budget management) Min 4 years of experience in the banking industry with significant experience as business analysit. Strong knowledge in Banking operation (booking, settlement, reconciliation) Strong knowledge in order management in a Wealth Management environment Strong knowledge in complex Banking System integration Knowledge of Bloomberg trading platform, FIX protocol is considered as a benefit
Legal reporting (ideally MIFID Transaction Reporting) is a strong benefit Excellent verbal and written communication skills and ability to interact professionally with a diverse group, managers, subject matter experts and developers. Proactive, positive attitude and desire to work as a team and help project team to achieve its objectives. "
547,Senior Data Scientist,SHOPEE SINGAPORE PRIVATE LIMITED,"Permanent, Full Time","$9,000to$17,600Monthly","Roles & ResponsibilitiesResponsibilities:   Develop and enhance data infrastructure using frameworks such as Hadoop, SPARK and Flume Design and build new data models and architects that will provide intuitive analytics Design and build reliable data pipelines that will efficiently move data to our Data Warehouse Design and develop new systems and tools that will enable teams to utilise, understand and process data at faster speeds  
   
 RequirementsRequirements:   Minimum B.S. degree in Computer Science or a related technical field Excellent communication skills with the ability to identify and communicate data driven insights 2+ years of Python development and Unix/linux system experience 2+ years of SQL (Mysql, Mssql, Hive, etc)
experience You must also possess at least 2 of the additional requirements as below 2+ years of working experience in software development/programming in one of Java, C/C++. OS environment: Linux/Unix 2+ years of working experience with distributed databases or distributed systems 2+ years of working experience with dimensional data modelling & schema design in Data Warehouses 2+ years of working experience working on BigData analytics pipelines (Hadoop, Hive, ETL, RDBMS-Hadoop data management tools like Sqoop)  
   
"
548,Data Center Facilities Engineer,PEOPLEBANK SINGAPORE PTE. LTD.,Contract,"$3,000to$4,000Monthly","Roles & ResponsibilitiesWe are looking for Data Centre Facilities Engineers to do the following functions: Inventory Management Tracking  Perform physical inspection and collection of information related to IT equipment within the data center. Affix company's provided RFID, barcode, and other tags to all IT devices located within the data center. Perform scheduled periodic/random scans and inventory of equipment per supplied lists from inventory tool.  Shipping/Receiving and Loading Dock  Coordinate shipping/receiving functions including, but not limited to: receipt and shipping at facility loading dock, packing/unpacking of materials, movement of materials and equipment to/from data floor or storage location  Equipment Destruction  Plan and Coordinate disposal/destruction of IT equipment following company's standard processes and procures.  Installation and Removal of IT equipment  Physical power down of equipment Install and remove cabinets and racks in the data center Act as the POC and approve/coordinate tickets to add or remove equipment from the data center Move equipment, racks, devices, and materials between physical locations in the same data center Install equipment in designated cabinet, rack, floor location Unrack and remove equipment from designated cabinet, rack, floor location  Device Validation  Visual inspection of devices as requested Serial number validation Device Inventory capabilities and physical comparison to inventory lists  Basic troubleshooting and repair of IT equipment failures  Power on/power off devices Relay LCD readouts Reset Remote Management connection IDs and Passwords Reset cables  Cable Installation and Planning  Physical installation and removal of patch cabling, and cabling components, and related material Removal of unused cable and cable components from racks, conduits and data center subfloor  Device/Cable Validation  Perform visual inspection of equipment as requested to provide company with information regarding cabling, port availability, and network connections Document cable connections and server backplane connections as requested Perform cable inventory as requested  Cable troubleshooting and repair
  Troubleshoot and repair system connections as needed Replace cables Check network connections Trace cables  Cable Installation and Planning  Participate in the design and engineering of cable infrastructure, and cabling component related material Assist with planning of data center layout, cable plant and tray systems  Validation of cable material / patching sheet  Review and validate all cable material/patching sheet to ensure complete  Maintain
company's
stock  Maintain and track stock levels for company owned and Vendor owned materials onsite, including but not limited to:   Maintaining stock levels and following all processes. Receive, sort, stock, and manage company and Vendor owned materials  Hardware Planning  Manage and approve all physical changes within each data hall Govern the process of customer installations/de-installations Perform tile and cabinet RU assignment Ensure installations or de-installations are performed by technically qualified parties  Requirements Diploma or Degree holder Has at least 2 years of relevant data centre experience doing smart hands support "
549,Data Centre Engineer,Company Undisclosed,Contract,"$3,500to$5,500Monthly","Roles & ResponsibilitiesAbout Our Client Our client is a Fortune Global 500 management consulting firm with a well-established market presence in Asia. You will be part of a dynamic and high performing team dedicated to drive innovation and to facilitate their client's digital transformation projects in Singapore. Job Description  Assist in Data Centre site planning, development and delivery of data centre environments, maintaining the highest performance standards and proposing innovative solutions to reduce budget and increase efficiency. Monitoring, escalation and reporting of all customer network, servers, and data centre facilities equipment status and problems. Assist with server rack mounting , network cable patching and patch record maintenance. Provide support for DC related project implementation (migration, decommissioning, etc.).  RequirementsThe Successful Applicant  Bachelor's degree in Computer Science (or equivalent experience). Must have experience including troubleshooting, operation and preventive maintenance of mission-critical facilities and associated MEP components. Understanding of high availability system environments. Able to work rotating 12 hour shifts with occasional overtime.  What's on Offer This organisation is a global brand name, with strong presence in Singapore as their regional headquarters. They have been constantly growing in the APAC region and are one of the most trusted companies globally. The firm is highly focused on on-boarding the right talent to support their growth and you will play a crucial role in leading the business in its next phase of growth. If you are driven, determined and want to fast - track your career, this job will be a good fit for you. You will be a part of a forward-thinking company that values innovation and a progressive mind-set. Contact:
 Rodrigo Narcizo Quote job ref:
4007958 +65 6419 9681"
550,Business Analyst,ADECCO PERSONNEL PTE LTD,"Contract, Full Time","$4,000to$8,000Monthly","Roles & ResponsibilitiesIn a challenging and multicultural environment, we are looking for a Junior Business Analyst to bw in charge of the business analyses of the Compliance / Financial Security and Fraud applications.  The mains solutions are issued by specialized external providers (Actmize); however, several in house applications have been put in place to answer different requirements of the regulators. Main responsibilities - Collect, analyze and document the business requirement in collaboration with our partners in Paris. - Conduct with the developer the feasibility study and elaborate the design documentation (Product Detailed Specifications) - Create the tests strategy. - Create test plan with the developer in the frame of the auto-test management - Manage the testing phase for the tests not covered by the test automation plan. - Manage the document relative to the end usage of the application (user guide) Involved in support of application for functional and technical incident - Coordinate the actions for the 2nd and 3rd level support work RequirementsThis position requires a minimum of 2 years as a Business Analyst with ideally a first experience into a Corporate and Investment Banking environment. Technical  SQL (must have)  Functional  Compliance environment (strong asset) CIB Environment (strong asset)  General  Organizational skill / Time-Management High level of proficiency in MS Office Excellent communication skills Pro active and result oriented Strong sense of confidentiality Sense of commitment Experience in requirement gathering Very good team player, able to socialize and interact into a multi-cultural environment "
551,Business Analytics Executive,PEOPLESOLUTIONS MANAGEMENT LLP,Permanent,"$3,200to$4,000Monthly","Roles & Responsibilities Analyze macro-economic and business data to identify trends and close gaps in Singapore and/ or China Research and explain trends identified qualitatively and quantitatively Design and build business analyses in Excel, Power BI, Tableau and QlikView Prepare reports and presentations on analytical insights on business performance and external market research for Senior Management and investors Develop enterprise-wide business systems and processes to enhance efficiency  Requirements Bachelors degree in Mathematics, Statistics, Computer Science, Economics, Business, or other mathematical-intensive majors Familiarity with data visualization tools, e.g. Tableau would be a strong advantage Proficient in Microsoft Power BI High-level of competency in Excel Strong interpersonal, oral and written communication and presentation skills Able to conceptualize and communicate findings effectively Self-driven and able to work within tight deadlines Able to communicate with Chinese-speaking stakeholders "
552,Business Analyst,VK TRANSFORMATION PTE. LTD.,"Permanent, Contract, Freelance, Flexi work","$3,000to$4,500Monthly","Roles & ResponsibilitiesAbout the Role We are looking for talents who are passionate to be part of an exciting management consulting startup. He or she will have the opportunity to work closely with the Founder to 
build out the practice and help businesses to navigate through the complexities and uncertainties business environment. Job Description  Develop a systematic and analytical prototype to help clients to identify clients to discover their true customer pathway in order to close the sales loop. Identify the critical selling stages which are required to be tracked and assessed. Research on smart insight tools which could potentially help our clients. Build analytical models or dashboards to track effective sales management. This model will also support the coaching conversation between sales/business leaders and sales professionals. Document technical and functional specifications and proof of concept findings. Conduct market sizing, market segmentation, pricing analysis, competitor analysis for consulting projects Build financial models and scenarios Develop business valuation framework for clients Conduct knowledge sharing with the team on project findings.  This is a non-exhaustive list of duties and can evolve with time. Requirements
  Pursuing a Bachelors or Masters degree in Computer Science, Business, Finance, 
Economics (with Data Analytics) or any other relevant discipline. Strong analytical aptitude (basic SQL, Excel, Tableau Software and data visualization). Software programming using Python or others is required Strong analytical and quantitative abilities with excellent written and verbal communication skills, preferably the ability to develop and deliver consulting presentations. Fluency in English is mandatory. Strong appetite to work in a startup environment and comfortable with fast pace changes & ambiguous working environment. Resourcefulness in exploring analytical tools to help clients to determine opportunity headroom. Keep up to date with new technology trends which will help clients with digital transformation efforts Strong appetite for problem solving, bottom-line oriented thinking (problem sizing and impact), thinker who can clarify, understand and re-state problem.  
"
553,IT Business Analyst,UBS AG,"Permanent, Full Time","$5,800to$8,750Monthly","Roles & ResponsibilitiesAre you adept at implementing system changes? Do you know how to work effectively with numerous technical teams to improve core infrastructure? Were looking for someone like that who can help us:  provide an end user workspace platform based on leading edge Virtual Desktop infrastructure (VDI)  support customers leveraging a diverse mixture of virtual desktop ""terminals"" including thin clients, desktops, laptops, etc.  monitor usage and performance, and troubleshoot server, software, and hardware issues  analyze outages and defective states, initiating and monitoring measures to remedy them  proactively respond and provide support to escalations from level 1 support teams  collaborate with partners across the VDI Workspace team on problem management, escalation and major incidents Youll be working in the L2 Global Hosted Services operations team. We are responsible for infrastructure support, infrastructure changes, service improvements, and ongoing maintenance of the GHS platforms which include a diverse set of technologies which enable our customers to access their work VDI sessions from Any Device, Any Location, to use Any Business Application RequirementsYou have: - minimum 5 years of experience supporting Windows desktop in a VDI environment -exposure to and understanding of Citrix XenDesktop 7.6x including Citrix Director, Citrix PVS & Citrix Storefront - experience of supporting and troubleshooting Citrix Receiver, leveraging Citrix Director to address any BYOD (Bring your own device) issues - experience with AppSense for profile management - clear understanding and exposure to VMware vSphere virtualization with enterprise storage (vCentre, VUM, SSO, ESXi) - experience with HP Server On-board Administrator and Integrated Lights-Out (iLO) You are:  analytical and logical (you can solve problems like nobodys business)  an excellent communicator, with strong interpersonal skills  result-oriented and assertive (you dont shy away from challenging situations) You may also apply directly via our career website using below link: https://jobs.ubs.com/1033/ASP/TG/cim_jobdetail.asp?partnerid=25008&siteid=5012&AReq=167298BR To learn more about UBS and other opportunities, please visit www.ubs.com/careers"
554,Research Data Scientist,TECH IN ASIA PTE. LTD.,Full Time,"$4,000to$6,000Monthly","Roles & ResponsibilitiesTribe is a decentralized protocol developed with a mission to help leaders build and sustain great communities around the world - communities that are economically sustainable, decentralized, and autonomous. We are a looking for a research data scientist to help us experiment and implement policies to keep the community economy healthy.  To experiment math formula to compute content quality scores and rewards
 To research and apply data science methodologies on token economy To analyze data and work with our team to implement short/long term changes to increase/decrease economic factors to create a healthy economy To test and repeat To put executions into code and production whenever required
  Requirements PhD in Mathematics or Economics At least 1 year working experience in the technology/internet sector Research and data driven. Understands experimental design Ability to think critically and in a computational way. Able to code is a huge plus Understand blockchain and its impact to the world "
555,Senior Business Analyst,INTELLECT DESIGN ARENA PTE. LTD.,Permanent,Salary undisclosed,"Roles & Responsibilities Develop and maintain functional specifications and document adjustments to base product adoption document and User Journeys. Eliciting requirements, analysis and preparation of Business requirements and specification document
 for Enterprise Banking application Facilitate/participate in discussions between Bank team and Product BAs to take decisions on delivery scope and requirements, during project initiation phase Business analysts must brainstorm, analyse the business objectives of the stakeholder and develops solutions to their business issues. Provide functional support during subsequent
phases
of the program with
support
from Product
organization. Collaborate with the technical team and ensure that business requirements
are translated
into a technical solution.
  Requirements 
Should have 12+ years of
 experience as a Business Analyst Role
 in Trade Finance domain Should have broader knowledge in banking practices and emerging trends Deep understanding of the supply chain and trade domain and also the Intellect product knowledge Must possess relevant experience in similar roles across global banks and should have managed stakeholder expectations. Must possess expertise in digital technologies primarily in the Internet and Mobile Banking platforms
 for Corporate Customers  
"
556,Data Analyst - Gaming attachment 8 Months cambodia,THE SUPREME HR ADVISORY PTE. LTD.,Full Time,"$3,000to$6,000Monthly","Roles & Responsibilities Conduct in-depth product data analysis for the game  Identify problems affecting the performance of the game in a clear manner with proper documentation  Regular checks on the functionality of the game Requirements











 Comfortable with being based in Cambodia for 8 months [accommodation, meals, and living allowances will be provided on top of salary 
  1 year of experience in game planning  Experience in managing operations for at least 2 games  Strong in logical thinking, communication and coordination  Sensitive to digital changes  Strong knowledge of Microsoft Excel  High level of initiative and development potential.  Dares to take on a project head on and strong team spirit  Able to work overseas for a few months [expenses are covered, and additional allowances will be provided]."
557,Data Engineer,MOZAT PTE. LTD.,Permanent,"$3,500to$5,500Monthly","Roles & Responsibilities1. Participate in R&D and performance optimization of big data platforms; 2. Responsible for the construction and maintenance of big data platforms, including but not limited to BI systems, scheduling systems, metadata systems, development platforms, data analysis/mining platforms, etc.; Requirements1. Bachelor degree or above, computer related major 2. Familiar with data warehouse theory, with ability to comb with complex business requirements 3. Proficient in SQL development, proficient in one or more of relational databases such as Mysql 4. Proficient in Hadoop and MapReduce application development, proficient in one or more of big data development tools such as HBase, Hive, Storm, Impala, Kylin, spark, etc. 5. Be familiar with Linux system, have shell, python and other script development capabilities are preferred 6. Strong in learning ability, likes to study open source new technologies, has a team concept, and has the ability to solve problems independently."
558,IT Data Analyst,AGRITRADE RESOURCES ASIA PTE. LTD.,Permanent,"$3,000to$4,200Monthly","Roles & ResponsibilitiesThe Role The purpose of this position is to assist in design, implement, maintain and support our growing IT infrastructure as well as any IT transformation projects. Some of the work scopes include  Configure and install various network and voice devices and services (e.g., routers, switches, firewalls, load balancers, VPN, QoS) Monitor performance and ensure system availability, reliability and constantly find flaws or room for improvement in the current network system Monitor system resource utilization, trending, and capacity planning Select and implement security tools, policies, and procedures in conjunction with the companys security team Provide Level 1 and 2 desktop application support including office applications Liaise with vendors and other IT personnel for problem resolution Provide IT Support to users and troubleshooting to resolve issues Interpret data, analyze results using statistical techniques, and provide ongoing reports Develop and implement databases, data collection, systems, data analytics, and other strategies that optimize statistical efficiency and quality Acquire data from primary or secondary data sources and maintain databases/data systems Identify, analyze, and interpret trends or patterns in complex data sets Work with management to prioritize business and information needs Locate and execute new process improvement opportunities.  RequirementsIdeal Profile  Diploma in Computer Science or Information Technology or related qualification Minimum 3 years of relevant experience CCNP and PMI certification would be added advantage Hands-on experience with monitoring, network diagnostic and business intelligence tools Strong analytical and problem-solving skills Meticulous, detailed oriented with passion for technology Self-starter with strong communication skills "
559,Walkin interviews 29th June 11:00 AM Onwards,R SYSTEMS (SINGAPORE) PTE LIMITED,Contract,"$2,500to$8,000Monthly","Roles & ResponsibilitiesPlease find below active roles for Walk In Interview today at 4:00 PM Onwards  Testing Roles - Manual & Automation / Core Banking
 Net Developer - Jr. to Mid Level Solution Lead Manager -
 Life Insurance
 Business Anlalyst - Insurance Domain is must Report Developer - SSIS, SSRS, Hadoop Application Support - SQL Experience
 Technical Support Engineer - Hardware & Software Java Developer / Java Lead
 - Mid Level Experince with Spring
 Digital Application Manager- Insurance
 PHP Lead Mobile Developer iOS
C++ /C IT Desktop support | IT Heldesk support
 Data analyst- SQL Excel skills
 Project / Program Manager | Infrastructure | Digitalization
  
 
 RequirementsPlease bring along your Resume
"
560,APAC Business Analyst  Specialty chemicals,KERRY CONSULTING PTE. LTD.,"Permanent, Full Time","$5,000to$7,500Monthly","Roles & Responsibilities Global specialty chemicals MNC  Finance business partnering  Office in West of Singapore  This is a leading player in the specialty chemicals MNC, specializing in flavors. Consistently lauded for its innovation and significant market share, there is now an exciting opportunity for a high calibre Business Analyst to join their team in Singapore covering the Asia Pacific region.
  Reporting to the Head of Strategy based in Singapore, you will be involved in a wide range of activities, including strategic planning and analysis, providing finance support including pricing to help drive regional business performance as well as identifying and evaluating potential growth opportunities. This is a highly visible role where you will partner senior management and work closely with business teams across APAC.
 RequirementsThe successful candidate will possess a degree in accountancy/finance/ mathematics, ideally with 3-6 years of experience in a financial/business analysis capacity. Prior exposure to cost analysis in a manufacturing setting will be highly advantageous. You are commercially astute, strategic in outlook and thrive in a fast-paced dynamic environment. You are highly confident and possess excellent interpersonal and communication skills.  To apply, please submit your resume (in word format) to Alsa Chia at AL@kerryconsulting.com, quoting the job title and reference number AL14134. Only successful shortlisted candidates will be notified.
  Licence No: 16S8060 Registration no: R1765623  
 Type of Work: Permanent Region: Singapore Licence No: 16S8060"
